tipo,fecha,hora,recinto,nombre,lat,lon,descripcion,link,patrocinado,patrocinado_url
CONCIERTOS,27/03/2026,20:00,LA RIVIERA,Biznaga,"40,4131550792513","-3,7213574704373",,Dice,,
CONCIERTOS,27/09/2025,20:00,VILLANOS,"Josh Rouse performs ""Nashville"" + Marc Rockenberg","40,4041503300863","-3,6998350852109",,https://dice.fm,,
CONCIERTOS,27/10/2025,20:00,LA RIVIERA,All Them Witches,"40,4131550792513","-3,7213574704373",,????,,
CONCIERTOS,27/11/2025,20:00,COPÉRNICO,El Petit De Cal Eril,"40,4355811572583","-3,7136034056273",,Dice,,
CONCIERTOS,27/11/2025,20:00,PALACIO DE VISTALEGRE,Turnstile,"40,3863901572462","-3,7381511109218",,FeverUp,,
CONCIERTOS,27/11/2025,20:00,CLAMORES,Micah P. Hinson,"40,4312812770905","-3,7010113384483","Hay dos pases, no sé las horas",Dice,,
CONCIERTOS,27/11/2025,20:00,LA RIVIERA,Nation Of Language,"40,4131550792513","-3,7213574704373",,FeverUp,,
CONCIERTOS,28/11/2025,20:00,CHANGÓ,Thylacine,"40,4320059670131","-3,6981755195844",,TicketMaster,,
CONCIERTOS,28/11/2025,20:00,SALA B,The Vernon Spring,"40,4335663178155","-3,6919304107958",,????,,
CONCIERTOS,28/11/2025,20:00,PALACIO DE VISTALEGRE,Marilyn Manson,"40,3863901572462","-3,7381511109218",,????,,
CONCIERTOS,29/05/2026,20:00,MON LIVE,The Soundtrack Of Our Lives,"40,4359491687017","-3,7165521825082",,LastTour,,
CONCIERTOS,29/11/2025,20:00,SALA STELLA,L-Kan,"40,4173901678824","-3,6976476323686",,OchoYMedio,,
CONCIERTOS,29/11/2025,20:00,EL NIDO,El Gobierno + Orden Jónico,"40,4363619750199","-3,6672376965851",Se paga la voluntad y todo el dinero va para los artistas,-,,
CONCIERTOS,30/10/2025,20:00,LA RIVIERA,Monolink,"40,4131550792513","-3,7213574704373",,FeverUp,,
CONCIERTOS,30/10/2025,20:00,MON LIVE,Molly Nilsson,"40,4359491687017","-3,7165521825082",,Dice,,
CONCIERTOS,30/11/2025,20:00,LA RIVIERA,Monolink,"40,4131550792513","-3,7213574704373",,FeverUp,,
CONCIERTOS,31/01/2026,20:00,CLAMORES,Rakky Ripper,"40,4312812770905","-3,7010113384483",,Dice,,
CONCIERTOS,31/10/2025,20:00,COPÉRNICO,Manolo Kabezabolo + The Eskarallas,"40,4355811572583","-3,7136034056273",,Dice,,
CONCIERTOS,31/10/2025,20:00,CAFÉ BERLÍN,And Also The Trees,"40,4197273280049","-3,7080502925965",,Mutick/Escridiscos,,
FÚTBOL,25/8/2025,20:00,ST JAMES´ PARK,Newcastle United vs Liverpool,"54,9757102689747","-1,6213601823667",Premier League,,,
FÚTBOL,26/8/2025,19:00,Select Car Leasing Stadium - Madesjski,Reading vs AFC Wimbledon,"51,4237789505088","-0,9804880536385",Carabao 2nd Round,,,
